pokemonName,attackName,text,effect_type,param1,param2
Lapras,Hydro Pump,If this Pokémon has at least 3 extra {W} Energy attached this attack does 70 more damage.,extra_damage_if_extra_energy_attached,water,3|70
Alakazam,Psychic,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,30,
Cubone,Growl,During your opponent's next turn attacks used by the Defending Pokémon do −20 damage.,inflict_effect,reduce_damage_next_turn,20
Nidoqueen,Lovestrike,This attack does 50 more damage for each of your Benched Nidoking.,bonus_damage_for_each_named_bench,Nidoking,50
Nidoking,Poison Horn,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Dragonite,Draco Meteor,1 of your opponent's Pokémon is chosen at random 4 times. For each time do 50 damage.,random_multi_target_damage,4,50
Meowth,Pay Day,Draw a card.,draw_cards,1,
Ditto,Copy Anything,Choose 1 of your opponent's Pokémon's attacks and use it.,copy_opponent_attack,,
Venusaur ex,Giant Bloom,Heal 30 damage from this Pokémon.,heal_self,30,
Exeggutor ex,Tropical Swing,Flip a coin. If heads this attack does 40 more damage.,flip_bonus_damage_if_heads,1,40
Charizard ex,Crimson Storm,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Arcanine ex,Inferno Onrush,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Moltres ex,Inferno Dance,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,attach_energy_from_zone,fire,count_heads
Blastoise ex,Hydro Bazooka,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,extra_damage_if_extra_energy_attached,water,2|60
Articuno ex,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Pikachu ex,Circle Circuit,This attack does 30 damage for each of your Benched {L} Pokémon.,bonus_damage_for_each_typed_bench,lightning,30
Zapdos ex,Raging Thunder,This attack also does 30 damage to 1 of your Benched Pokémon.,bench_damage_one,self,30
Mewtwo ex,Psydrive,Discard 2 {P} Energy from this Pokémon.,discard_energy_specific,psychic,2
Marowak ex,Bonemerang,Flip 2 coins. This attack does 80 damage for each heads.,flip_multiplier,2,80
Wigglytuff ex,Sleepy Song,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Moltres ex,Inferno Dance,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,attach_energy_from_zone,fire,count_heads
Articuno ex,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Zapdos ex,Thundering Hurricane,Flip 4 coins. This attack does 50 damage for each heads.,flip_multiplier,4,50
Wigglytuff ex,Sleepy Song,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Charizard ex,Crimson Storm,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Pikachu ex,Circle Circuit,This attack does 30 damage for each of your Benched {L} Pokémon.,bonus_damage_for_each_typed_bench,lightning,30
Mewtwo ex,Psydrive,Discard 2 {P} Energy from this Pokémon.,discard_energy_specific,psychic,2
Mew,Psy Report,Your opponent reveals their hand.,reveal_opponent_hand,,
Charizard ex,Crimson Storm,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Pikachu ex,Circle Circuit,This attack does 30 damage for each of your Benched {L} Pokémon.,bonus_damage_for_each_typed_bench,lightning,30
Mewtwo ex,Psydrive,Discard 2 {P} Energy from this Pokémon.,discard_energy_specific,psychic,2
Exeggcute,Growth Spurt,Take a {G} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone,grass,self
Exeggutor,Psychic,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Celebi ex,Powerful Bloom,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,flip_multiplier_energy_count,50,
Shiinotic,Flickering Spores,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Dhelmise,Energy Whip,"""If this Pokémon has at least 3 extra {G} Energy attached, this attack does 70 more damage.""",extra_damage_if_extra_energy_attached,grass,3|70
Ponyta,Stomp,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Rapidash,Rising Lunge,"""Flip a coin. If heads, this attack does 60 more damage.""",flip_bonus_damage_if_heads,1,60
Magmar,Fire Blast,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Volcarona,Volcanic Ash,Discard 2 {R} Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.,discard_energy_then_bench_damage,fire|2,opponent|80
Salandit,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""",bonus_damage_if_opponent_poisoned,40,
Salazzle,Poison Claws,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Magikarp,Leap Out,Switch this Pokémon with 1 of your Benched Pokémon.,switch_self_with_bench,,
Gyarados ex,Rampaging Whirlpool,Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,discard_random_energy_all_pokemon,1,
Lumineon,Aqua Liner,This attack does 50 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,50
Drednaw,Crunch,"""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""",flip_discard_random_from_opponent,1,
Cramorant,Dive,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_inflict_effect_if_heads,prevent_damage_next_turn,
Pikachu,Circle Circuit,This attack does 10 damage for each of your Benched {L} Pokémon.,bonus_damage_for_each_typed_bench,lightning,10
Raichu,Gigashock,This attack also does 20 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,20,
Electabuzz,Thunder Spear,This attack does 40 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,40
Galvantula,Electroweb,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect,retreat_lock,
Dedenne,Thunder Shock,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",flip_inflict_status_if_heads,paralysis,
Mew,Psy Report,Your opponent reveals their hand.,reveal_opponent_hand,,
Mew ex,Genome Hacking,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,copy_opponent_attack,,
Sigilyph,Spike Draw,Draw a card.,draw_cards,1,
Beheeyem,Mind Jack,This attack does 20 more damage for each of your opponent's Benched Pokémon.,bonus_damage_for_each_opponent_bench,20,
Flabébé,Hypnotic Gaze,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Floette,Leaf Drain,Heal 10 damage from this Pokémon.,heal_self,10,
Florges,Bloomshine,Heal 20 damage from each of your Pokémon.,heal_all,20,
Mankey,Focus Fist,"""Flip a coin. If tails, this attack does nothing.""",flip_do_nothing_if_tails,,
Golem,Guard Press,"""During your opponent's next turn, this Pokémon takes −30 damage from attacks.""",reduce_incoming_damage_next_turn,30,
Marshadow,Revenge,"""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""",bonus_damage_if_pokemon_ko_last_turn,60,
Koffing,Division,Put 1 random Koffing from your deck onto your Bench.,search_specific_into_bench,Koffing,
Weezing,Smokescreen,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",inflict_effect,flip_to_attack,
Whirlipede,Poison Sting,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Scolipede,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 50 more damage.""",bonus_damage_if_opponent_poisoned,50,
Pidgeot ex,Scattering Cyclone,This attack does 20 more damage for each of your opponent's Benched Pokémon.,bonus_damage_for_each_opponent_bench,20,
Tauros,Fighting Tackle,"""If your opponent's Active Pokémon is a Pokémon {ex}, this attack does 80 more damage.""",bonus_damage_if_opponent_ex,80,
Eevee,Continuous Steps,Flip a coin until you get tails. This attack does 20 damage for each heads.,flip_until_tails_multiplier,20,
Chatot,Mimic,Shuffle your hand into your deck. Draw a card for each card in your opponent's hand.,shuffle_hand_draw_match_opponent,,
Exeggutor,Psychic,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Salandit,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""",bonus_damage_if_opponent_poisoned,40,
Dedenne,Thunder Shock,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",flip_inflict_status_if_heads,paralysis,
Marshadow,Revenge,"""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""",bonus_damage_if_pokemon_ko_last_turn,60,
Celebi ex,Powerful Bloom,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,flip_multiplier_energy_count,50,
Gyarados ex,Rampaging Whirlpool,Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,discard_random_energy_all_pokemon,1,
Mew ex,Genome Hacking,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,copy_opponent_attack,,
Pidgeot ex,Scattering Cyclone,This attack does 20 more damage for each of your opponent's Benched Pokémon.,bonus_damage_for_each_opponent_bench,20,
Mew ex,Genome Hacking,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,copy_opponent_attack,,
Celebi ex,Powerful Bloom,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,flip_multiplier_energy_count,50,
Mew ex,Genome Hacking,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,copy_opponent_attack,,
Oddish,Blot,Heal 10 damage from this Pokémon.,heal_self,10,
Tangrowth,Mega Drain,Heal 30 damage from this Pokémon.,heal_self,30,
Yanmega ex,Air Slash,Discard a random Energy from this Pokémon.,discard_random_energy_self,1,
Roserade,Poisonous Whip,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Torterra,Frenzy Plant,"""During your next turn, this Pokémon can't use Frenzy Plant.""",self_lock_specific_attack,,
Kricketune,Entrancing Melody,Your opponent's Active Pokémon is now Confused.,inflict_status,confusion,
Wormadam,Leaf Cutter,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Combee,Call for Family,Put 1 random Basic Pokémon from your deck onto your Bench.,search_basic_to_bench,,
Carnivine,Flog,"""Flip a coin. If heads, this attack does 50 more damage.""",flip_bonus_damage_if_heads,1,50
Leafeon,Leafy Cyclone,"""During your next turn, this Pokémon can't attack.""",self_lock_next_turn,,
Mow Rotom,Energy Cutoff,"""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""",flip_discard_random_from_opponent,1,
Magmar,Stoke,Take a {R} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone,fire,
Magmortar,Bursting Inferno,Your opponent's Active Pokémon is now Burned.,inflict_status,burn,
Magcargo,Searing Flame,Your opponent's Active Pokémon is now Burned.,inflict_status,burn,
Infernape ex,Flare Blitz,Discard all {R} Energy from this Pokémon.,discard_energy_specific,fire,999
Heat Rotom,Heat Breath,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Piplup,Nap,Heal 20 damage from this Pokémon.,heal_self,20,
Empoleon,Aqua Jet,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,30
Floatzel,Jet Screw,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Gastrodon,Muddy Water,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
Finneon,Elegant Swim,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_prevent_damage_and_effects,,
Snover,Ice Shard,"""If your opponent's Active Pokémon is a {F} Pokémon, this attack does 30 more damage.""",bonus_damage_if_opponent_type,fighting,30
Glaceon,Ice Beam,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",inflict_status,paralysis,
Frost Rotom,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Palkia ex,Dimensional Storm,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,discard_energy_and_bench_damage,water,3|20
Manaphy,Oceanic Gift,"""Choose 2 of your Benched Pokémon. For each of those Pokémon, take a {W} Energy from your Energy Zone and attach it to that Pokémon.""",attach_energy_to_multiple_bench,water,2
Magnezone,Thunder Blast,Discard a {L} Energy from this Pokémon.,discard_energy_specific,lightning,1
Voltorb,Big Explosion,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
Electabuzz,Charge,Take a {L} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone,lightning,
Electivire,Exciting Voltage,"""If this Pokémon has at least 2 extra {L} Energy attached, this attack does 80 more damage.""",extra_damage_if_extra_energy_attached,lightning,2|80
Shinx,Hide,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_prevent_damage_and_effects,,
Luxray,Volt Bolt,Discard all {L} Energy from this Pokémon. This attack does 120 damage to 1 of your opponent's Pokémon.,discard_energy_and_snipe,lightning,120
Pachirisu ex,Sparking Gadget,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",bonus_damage_if_tool_attached,self,40
Rotom,Assault Laser,"""If your opponent's Active Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",bonus_damage_if_tool_attached,opponent,30
Togekiss,Overdrive Smash,"""During your next turn, this Pokémon's Overdrive Smash attack does +60 damage.""",self_boost_next_turn,60,Overdrive Smash
Mismagius ex,Magical Delusion,Your opponent's Active Pokémon is now Confused.,inflict_status,confusion,
Ralts,Teleport,Switch this Pokémon with 1 of your Benched Pokémon.,switch_self_with_bench,,
Drifloon,Expand,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Uxie,Mind Boost,Take a {P} Energy from your Energy Zone and attach it to Mesprit or Azelf.,attach_energy_to_specific_names,psychic,Mesprit|Azelf
Mesprit,Supreme Blast,You can use this attack only if you have Uxie and Azelf on your Bench. Discard all Energy from this Pokémon.,discard_energy_all,,
Azelf,Psychic Arrow,This attack does 20 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,20
Cresselia,Moonlight Gain,Heal 20 damage from this Pokémon.,heal_self,20,
Rhyperior,Mountain Swing,Discard the top 3 cards of your deck.,discard_top_deck,3,
Gliscor,Acrobatics,Flip 2 coins. This attack does 20 more damage for each heads.,flip_multiplier,2,
Rampardos,Head Smash,"""If your opponent's Pokémon is Knocked Out by damage from this attack, this Pokémon also does 50 damage to itself.""",self_damage_if_ko,50,
Gallade ex,Energized Blade,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Honchkrow,Skill Dive,This attack does 50 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,50
Sneasel,Double Scratch,Flip 2 coins. This attack does 20 damage for each heads.,flip_multiplier,2,
Weavile ex,Scratching Nails,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",bonus_damage_if_opponent_damaged,40,
Skuntank,Poison Gas,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Spiritomb,Swirling Disaster,This attack does 10 damage to each of your opponent's Pokémon.,damage_all_opponent_pokemon,10,
Drapion,Cross Poison,"""Flip 4 coins. This attack does 40 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokémon is now Poisoned.""",flip_multiplier_conditional_poison,4,40|2
Croagunk,Group Beatdown,Flip a coin for each Pokémon you have in play. This attack does 20 damage for each heads.,flip_multiplier_pokemon_in_play,20,
Toxicroak,Group Beatdown,Flip a coin for each Pokémon you have in play. This attack does 40 damage for each heads.,flip_multiplier_pokemon_in_play,40,
Darkrai,Dark Void,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Skarmory,Metal Arms,"""If this Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",bonus_damage_if_tool_attached,self,30
Wormadam,Iron Head,Flip a coin until you get tails. This attack does 30 more damage for each heads.,flip_until_tails_bonus_damage,30,
Bronzong,Guard Press,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Probopass,Triple Nose,Flip 3 coins. This attack does 50 more damage for each heads.,flip_multiplier,3,
Dialga ex,Metallic Turbo,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,attach_multiple_energy_to_bench_one,metal,2
Heatran,Steel Tackle,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Lickilicky ex,Licking Fury,Flip a coin until you get tails. This attack does 40 more damage for each heads.,flip_until_tails_bonus_damage,40,
Eevee,Quick Attack,"""Flip a coin. If heads, this attack does 20 more damage.""",flip_bonus_damage_if_heads,1,20
Porygon-Z,Buggy Beam,"""Change the type of the next Energy that will be generated for your opponent to 1 of the following at random: {G}, {R}, {W}, {L}, {P}, {F}, {D}, or {M}.""",change_opponent_energy_type,,
Ambipom,Double Hit,Flip 2 coins. This attack does 40 damage for each heads.,flip_multiplier,2,
Starly,Pluck,"""Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.""",discard_opponent_tools_before_damage,,
Staraptor,Clutch,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect,retreat_lock,
Bidoof,Super Fang,"""Halve your opponent's Active Pokémon's remaining HP, rounded down.""",halve_opponent_hp,,
Lopunny,Jump Kick,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
Glameow,Pose,"""Flip a coin. If tails, this attack does nothing.""",flip_do_nothing_if_tails,,
Purugly,Interrupt,Your opponent reveals their hand. Choose a card you find there and shuffle it into your opponent's deck.,reveal_hand_shuffle_card,,
Chatot,Fury Attack,Flip 3 coins. This attack does 20 damage for each heads.,flip_multiplier,3,
Fan Rotom,Spin Storm,"""Flip a coin. If heads, put your opponent's Active Pokémon into their hand.""",return_opponent_active_to_hand,,
Regigigas,Raging Hammer,This attack does more damage equal to the damage this Pokémon has on it.,bonus_damage_equal_to_self_damage,,
Tangrowth,Mega Drain,Heal 30 damage from this Pokémon.,heal_self,30,
Combee,Call for Family,Put 1 random Basic Pokémon from your deck onto your Bench.,search_basic_to_bench,,
Carnivine,Flog,"""Flip a coin. If heads, this attack does 50 more damage.""",flip_bonus_damage_if_heads,1,50
Gastrodon,Muddy Water,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
