set,number,pokemonName,attackName,effect_type,param1,param2,effect_text,damageBase,damageNotation
A1,40,Arcanine,Heat Tackle,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,100.0,100
A1,41,Arcanine ex,Inferno Onrush,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,120.0,120
A1,45,Flareon,Flamethrower,discard_energy_specific,fire,1,Discard 1 {R} Energy from this Pokémon.,110.0,110
A1,46,Moltres,Sky Attack,flip_do_nothing_if_tails,,,Flip a coin. If tails this attack does nothing.,130.0,130
A1,47,Moltres ex,Inferno Dance,attach_energy_from_zone,fire,count_heads,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,0.0,
A1,52,Centiskorch,Fire Blast,discard_energy_specific,fire,1,Discard a {R} Energy from this Pokémon.,130.0,130
A1,55,Blastoise,Hydro Pump,extra_damage_if_extra_energy_attached,water,2|60,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,80.0,80+
A1,56,Blastoise ex,Hydro Bazooka,extra_damage_if_extra_energy_attached,water,2|60,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,100.0,100+
A1,57,Psyduck,Headache,inflict_effect,block_supporter,,Your opponent can't use any Supporter cards during their next turn.,10.0,10
A1,63,Tentacruel,Poison Tentacles,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,50.0,50
A1,69,Kingler,KO Crab,flip_bonus_if_double_heads,,80,Flip 2 coins. If both are heads this attack does 80 more damage.,80.0,80+
A1,71,Seadra,Water Arrow,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Pokémon.,0.0,
A1,73,Seaking,Horn Hazard,flip_do_nothing_if_tails,,,Flip a coin. If tails this attack does nothing.,80.0,80
A1,78,Gyarados,Hyper Beam,discard_random_energy_from_opponent,1,,Discard a random Energy from your opponent's Active Pokémon.,100.0,100
A1,79,Lapras,Hydro Pump,extra_damage_if_extra_energy_attached,water,3|70,If this Pokémon has at least 3 extra {W} Energy attached this attack does 70 more damage.,20.0,20+
A1,80,Vaporeon,Bubble Drain,heal_self,30,,Heal 30 damage from this Pokémon.,60.0,60
A1,82,Omastar,Ancient Whirlpool,inflict_effect,attack_lock,,During your opponent's next turn the Defending Pokémon can't attack.,70.0,70
A1,83,Articuno,Ice Beam,flip_inflict_status_if_heads,paralysis,,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,60.0,60
A1,84,Articuno ex,Blizzard,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,80.0,80
A1,91,Bruxish,Second Strike,bonus_damage_if_opponent_damaged,60,,If your opponent's Active Pokémon has damage on it this attack does 60 more damage.,10.0,10+
A1,93,Frosmoth,Powder Snow,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,40.0,40
A1,95,Raichu,Thunderbolt,discard_energy_all,,,Discard all Energy from this Pokémon.,140.0,140
A1,96,Pikachu ex,Circle Circuit,bonus_damage_for_each_typed_bench,lightning,30,This attack does 30 damage for each of your Benched {L} Pokémon.,30.0,30×
A1,101,Electabuzz,Thunder Punch,flip_bonus_damage_with_self_damage,40,20,Flip a coin. If heads this attack does 40 more damage. If tails this Pokémon also does 20 damage to itself.,40.0,40+
A1,102,Jolteon,Pin Missile,flip_multiplier,4,40,Flip 4 coins. This attack does 40 damage for each heads.,40.0,40×
A1,103,Zapdos,Raging Thunder,bench_damage_one,self,30,This attack also does 30 damage to 1 of your Benched Pokémon.,100.0,100
A1,104,Zapdos ex,Thundering Hurricane,flip_multiplier,4,50,Flip 4 coins. This attack does 50 damage for each heads.,50.0,50×
A1,106,Zebstrika,Thunder Spear,bench_damage_one,opponent,30,This attack does 30 damage to 1 of your opponent's Pokémon.,0.0,
A1,109,Eelektross,Thunder Fang,flip_inflict_status_if_heads,paralysis,,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,80.0,80
A1,111,Heliolisk,Quick Attack,flip_bonus_damage_if_heads,1,40,Flip a coin. If heads this attack does 40 more damage.,40.0,40+
A1,112,Pincurchin,Thunder Shock,flip_inflict_status_if_heads,paralysis,,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,40.0,40
A1,115,Abra,Teleport,switch_self_with_bench,,,Switch this Pokémon with 1 of your Benched Pokémon.,0.0,
A1,117,Alakazam,Psychic,bonus_damage_for_each_energy_on_opponent,30,,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,60.0,60+
A1,122,Gengar,Bother,inflict_effect,block_supporter,,Your opponent can't use any Supporter cards during their next turn.,50.0,50
A1,126,Mr. Mime,Barrier Attack,reduce_incoming_damage_next_turn,20,,During your opponent's next turn this Pokémon takes 20 less damage from attacks.,30.0,30
A1,127,Jynx,Psychic,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,30.0,30+
A1,128,Mewtwo,Power Blast,discard_energy_specific,psychic,2,Discard 2 {P} Energy from this Pokémon.,120.0,120
A1,129,Mewtwo ex,Psydrive,discard_energy_specific,psychic,2,Discard 2 {P} Energy from this Pokémon.,150.0,150
A1,136,Golurk,Double Lariat,flip_multiplier,2,100,Flip 2 coins. This attack does 100 damage for each heads.,100.0,100×
A1,140,Dugtrio,Dig,flip_inflict_effect_if_heads,prevent_damage_next_turn,,Flip a coin. If heads during your opponent's next turn prevent all damage and effects done to this Pokémon.,40.0,40
A1,142,Primeape,Fight Back,bonus_damage_if_self_damaged,60,,If this Pokémon has damage on it this attack does 60 more damage.,40.0,40+
A1,149,Golem,Double-Edge,self_damage_fixed_amount,50,,This Pokémon also does 50 damage to itself.,150.0,150
A1,151,Cubone,Growl,inflict_effect,reduce_damage_next_turn,20,During your opponent's next turn attacks used by the Defending Pokémon do −20 damage.,0.0,
A1,153,Marowak ex,Bonemerang,flip_multiplier,2,80,Flip 2 coins. This attack does 80 damage for each heads.,80.0,80×
A1,154,Hitmonlee,Stretch Kick,bench_damage_one,opponent,30,This attack does 30 damage to 1 of your opponent's Pokémon.,0.0,
A1,159,Kabutops,Leech Life,heal_equal_to_damage_done,,,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,50.0,50
A1,163,Grapploct,Knock Back,force_opponent_switch,,,Switch out your opponent's Active Pokémon to the Bench.,70.0,70
A1,165,Arbok,Corner,inflict_effect,retreat_lock,,During your opponent's next turn the Defending Pokémon can't retreat.,60.0,60
A1,166,Nidoran♀,Call for Family,search_specific_into_bench,Nidoran♂,,Put 1 random Nidoran♂ from your deck onto your Bench.,0.0,
A1,168,Nidoqueen,Lovestrike,bonus_damage_for_each_named_bench,Nidoking,50,This attack does 50 more damage for each of your Benched Nidoking.,80.0,80+
A1,171,Nidoking,Poison Horn,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,90.0,90
A1,174,Grimer,Poison Gas,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,10.0,10
A1,175,Muk,Venoshock,bonus_damage_if_opponent_poisoned,50,,If your opponent's Active Pokémon is Poisoned this attack does 50 more damage.,70.0,70+
A1,178,Mawile,Crunch,flip_discard_random_from_opponent,1,,Flip a coin. If heads discard a random Energy from your opponent's Active Pokémon.,20.0,20
A1,181,Meltan,Amass,attach_energy_from_zone,metal,self,Take 1 {M} Energy from your Energy Zone and attach it to this Pokémon.,0.0,
A1,185,Dragonite,Draco Meteor,random_multi_target_damage,4,50,1 of your opponent's Pokémon is chosen at random 4 times. For each time do 50 damage.,0.0,
A1,192,Fearow,Drill Run,flip_discard_random_from_opponent,1,,Flip a coin. If heads discard a random Energy from your opponent's Active Pokémon.,50.0,50
A1,195,Wigglytuff ex,Sleepy Song,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,80.0,80
A1,196,Meowth,Pay Day,draw_cards,1,,Draw a card.,10.0,10
A1,197,Persian,Shadow Claw,flip_discard_random_from_opponent_hand,1,,Flip a coin. If heads discard a random card from your opponent's hand.,40.0,40
A1,201,Lickitung,Continuous Lick,flip_until_tails_multiplier,60,,Flip a coin until you get tails. This attack does 60 damage for each heads.,60.0,60×
A1,203,Kangaskhan,Dizzy Punch,flip_multiplier,2,30,Flip 2 coins. This attack does 30 damage for each heads.,30.0,30×
A1,205,Ditto,Copy Anything,copy_opponent_attack,,,Choose 1 of your opponent's Pokémon's attacks and use it.,0.0,
A1,210,Aerodactyl,Primal Wingbeat,flip_force_shuffle_opponent_pokemon_into_deck,,,Flip a coin. If heads your opponent shuffles their Active Pokémon into their deck.,0.0,
A1,213,Cinccino,Do the Wave,bonus_damage_for_each_bench,30,,This attack does 30 damage for each of your Benched Pokémon.,30.0,30×
A1,229,Pinsir,Double Horn,flip_multiplier,2,50,Flip 2 coins. This attack does 50 damage for each heads.,50.0,50×
A1,230,Charmander,Ember,discard_energy_specific,fire,1,Discard a {R} Energy from this Pokémon.,30.0,30
A1,233,Gyarados,Hyper Beam,discard_random_energy_from_opponent,1,,Discard a random Energy from your opponent's Active Pokémon.,100.0,100
A1,234,Lapras,Hydro Pump,extra_damage_if_extra_energy_attached,water,3|70,If this Pokémon has at least 3 extra {W} Energy attached this attack does 70 more damage.,20.0,20+
A1,236,Alakazam,Psychic,bonus_damage_for_each_energy_on_opponent,30,,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,60.0,60+
A1,239,Cubone,Growl,inflict_effect,reduce_damage_next_turn,20,During your opponent's next turn attacks used by the Defending Pokémon do −20 damage.,0.0,
A1,240,Nidoqueen,Lovestrike,bonus_damage_for_each_named_bench,Nidoking,50,This attack does 50 more damage for each of your Benched Nidoking.,80.0,80+
A1,241,Nidoking,Poison Horn,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,90.0,90
A1,244,Dragonite,Draco Meteor,random_multi_target_damage,4,50,1 of your opponent's Pokémon is chosen at random 4 times. For each time do 50 damage.,0.0,
A1,246,Meowth,Pay Day,draw_cards,1,,Draw a card.,10.0,10
A1,247,Ditto,Copy Anything,copy_opponent_attack,,,Choose 1 of your opponent's Pokémon's attacks and use it.,0.0,
A1,251,Venusaur ex,Giant Bloom,heal_self,30,,Heal 30 damage from this Pokémon.,100.0,100
A1,252,Exeggutor ex,Tropical Swing,flip_bonus_damage_if_heads,1,40,Flip a coin. If heads this attack does 40 more damage.,40.0,40+
A1,253,Charizard ex,Crimson Storm,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,200.0,200
A1,254,Arcanine ex,Inferno Onrush,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,120.0,120
A1,255,Moltres ex,Inferno Dance,attach_energy_from_zone,fire,count_heads,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,0.0,
A1,256,Blastoise ex,Hydro Bazooka,extra_damage_if_extra_energy_attached,water,2|60,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,100.0,100+
A1,258,Articuno ex,Blizzard,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,80.0,80
A1,259,Pikachu ex,Circle Circuit,bonus_damage_for_each_typed_bench,lightning,30,This attack does 30 damage for each of your Benched {L} Pokémon.,30.0,30×
A1,260,Zapdos ex,Raging Thunder,bench_damage_one,self,30,This attack also does 30 damage to 1 of your Benched Pokémon.,100.0,100
A1,262,Mewtwo ex,Psydrive,discard_energy_specific,psychic,2,Discard 2 {P} Energy from this Pokémon.,150.0,150
A1,264,Marowak ex,Bonemerang,flip_multiplier,2,80,Flip 2 coins. This attack does 80 damage for each heads.,80.0,80×
A1,265,Wigglytuff ex,Sleepy Song,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,80.0,80
A1,274,Moltres ex,Inferno Dance,attach_energy_from_zone,fire,count_heads,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,0.0,
A1,275,Articuno ex,Blizzard,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,80.0,80
A1,276,Zapdos ex,Thundering Hurricane,flip_multiplier,4,50,Flip 4 coins. This attack does 50 damage for each heads.,50.0,50×
A1,279,Wigglytuff ex,Sleepy Song,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,80.0,80
A1,280,Charizard ex,Crimson Storm,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,200.0,200
A1,281,Pikachu ex,Circle Circuit,bonus_damage_for_each_typed_bench,lightning,30,This attack does 30 damage for each of your Benched {L} Pokémon.,30.0,30×
A1,282,Mewtwo ex,Psydrive,discard_energy_specific,psychic,2,Discard 2 {P} Energy from this Pokémon.,150.0,150
A1,283,Mew,Psy Report,reveal_opponent_hand,,,Your opponent reveals their hand.,20.0,20
A1,284,Charizard ex,Crimson Storm,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,200.0,200
A1,285,Pikachu ex,Circle Circuit,bonus_damage_for_each_typed_bench,lightning,30,This attack does 30 damage for each of your Benched {L} Pokémon.,30.0,30×
A1,286,Mewtwo ex,Psydrive,discard_energy_specific,psychic,2,Discard 2 {P} Energy from this Pokémon.,150.0,150
A1a,1,Exeggcute,Growth Spurt,attach_energy_from_zone,grass,self,Take a {G} Energy from your Energy Zone and attach it to this Pokémon.,0.0,
A1a,2,Exeggutor,Psychic,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,40.0,40+
A1a,3,Celebi ex,Powerful Bloom,flip_multiplier_energy_count,50,,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,50.0,50×
A1a,8,Shiinotic,Flickering Spores,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,50.0,50
A1a,9,Dhelmise,Energy Whip,extra_damage_if_extra_energy_attached,grass,3|70,"""If this Pokémon has at least 3 extra {G} Energy attached, this attack does 70 more damage.""",30.0,30+
A1a,10,Ponyta,Stomp,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",30.0,30+
A1a,11,Rapidash,Rising Lunge,flip_bonus_damage_if_heads,1,60,"""Flip a coin. If heads, this attack does 60 more damage.""",60.0,60+
A1a,12,Magmar,Fire Blast,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,100.0,100
A1a,14,Volcarona,Volcanic Ash,discard_energy_then_bench_damage,fire|2,opponent|80,Discard 2 {R} Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.,0.0,
A1a,15,Salandit,Venoshock,bonus_damage_if_opponent_poisoned,40,,"""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""",20.0,20+
A1a,16,Salazzle,Poison Claws,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,80.0,80
A1a,17,Magikarp,Leap Out,switch_self_with_bench,,,Switch this Pokémon with 1 of your Benched Pokémon.,0.0,
A1a,18,Gyarados ex,Rampaging Whirlpool,discard_random_energy_all_pokemon,1,,Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,140.0,140
A1a,21,Lumineon,Aqua Liner,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Benched Pokémon.,0.0,
A1a,23,Drednaw,Crunch,flip_discard_random_from_opponent,1,,"""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""",80.0,80
A1a,24,Cramorant,Dive,flip_inflict_effect_if_heads,prevent_damage_next_turn,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",40.0,40
A1a,25,Pikachu,Circle Circuit,bonus_damage_for_each_typed_bench,lightning,10,This attack does 10 damage for each of your Benched {L} Pokémon.,10.0,10×
A1a,26,Raichu,Gigashock,bench_damage_all_opponent,20,,This attack also does 20 damage to each of your opponent's Benched Pokémon.,100.0,100
A1a,27,Electabuzz,Thunder Spear,bench_damage_one,opponent,40,This attack does 40 damage to 1 of your opponent's Pokémon.,0.0,
A1a,29,Galvantula,Electroweb,inflict_effect,retreat_lock,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",70.0,70
A1a,30,Dedenne,Thunder Shock,flip_inflict_status_if_heads,paralysis,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",20.0,20
A1a,31,Mew,Psy Report,reveal_opponent_hand,,,Your opponent reveals their hand.,20.0,20
A1a,32,Mew ex,Genome Hacking,copy_opponent_attack,,,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,0.0,
A1a,33,Sigilyph,Spike Draw,draw_cards,1,,Draw a card.,60.0,60
A1a,35,Beheeyem,Mind Jack,bonus_damage_for_each_opponent_bench,20,,This attack does 20 more damage for each of your opponent's Benched Pokémon.,30.0,30+
A1a,36,Flabébé,Hypnotic Gaze,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,10.0,10
A1a,37,Floette,Leaf Drain,heal_self,10,,Heal 10 damage from this Pokémon.,30.0,30
A1a,38,Florges,Bloomshine,heal_all,20,,Heal 20 damage from each of your Pokémon.,80.0,80
A1a,41,Mankey,Focus Fist,flip_do_nothing_if_tails,,,"""Flip a coin. If tails, this attack does nothing.""",50.0,50
A1a,45,Golem,Guard Press,reduce_incoming_damage_next_turn,30,,"""During your opponent's next turn, this Pokémon takes −30 damage from attacks.""",100.0,100
A1a,47,Marshadow,Revenge,bonus_damage_if_pokemon_ko_last_turn,60,,"""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""",30.0,30+
A1a,49,Koffing,Division,search_specific_into_bench,Koffing,,Put 1 random Koffing from your deck onto your Bench.,0.0,
A1a,50,Weezing,Smokescreen,inflict_effect,flip_to_attack,,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",80.0,80
A1a,54,Whirlipede,Poison Sting,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,40.0,40
A1a,55,Scolipede,Venoshock,bonus_damage_if_opponent_poisoned,50,,"""If your opponent's Active Pokémon is Poisoned, this attack does 50 more damage.""",90.0,90+
A1a,59,Pidgeot ex,Scattering Cyclone,bonus_damage_for_each_opponent_bench,20,,This attack does 20 more damage for each of your opponent's Benched Pokémon.,80.0,80+
A1a,60,Tauros,Fighting Tackle,bonus_damage_if_opponent_ex,80,,"""If your opponent's Active Pokémon is a Pokémon {ex}, this attack does 80 more damage.""",60.0,60+
A1a,61,Eevee,Continuous Steps,flip_until_tails_multiplier,20,,Flip a coin until you get tails. This attack does 20 damage for each heads.,20.0,20×
A1a,62,Chatot,Mimic,shuffle_hand_draw_match_opponent,,,Shuffle your hand into your deck. Draw a card for each card in your opponent's hand.,0.0,
A1a,69,Exeggutor,Psychic,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,40.0,40+
A1a,71,Salandit,Venoshock,bonus_damage_if_opponent_poisoned,40,,"""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""",20.0,20+
A1a,73,Dedenne,Thunder Shock,flip_inflict_status_if_heads,paralysis,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",20.0,20
A1a,74,Marshadow,Revenge,bonus_damage_if_pokemon_ko_last_turn,60,,"""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""",30.0,30+
A1a,75,Celebi ex,Powerful Bloom,flip_multiplier_energy_count,50,,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,50.0,50×
A1a,76,Gyarados ex,Rampaging Whirlpool,discard_random_energy_all_pokemon,1,,Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,140.0,140
A1a,77,Mew ex,Genome Hacking,copy_opponent_attack,,,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,0.0,
A1a,79,Pidgeot ex,Scattering Cyclone,bonus_damage_for_each_opponent_bench,20,,This attack does 20 more damage for each of your opponent's Benched Pokémon.,80.0,80+
A1a,83,Mew ex,Genome Hacking,copy_opponent_attack,,,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,0.0,
A1a,85,Celebi ex,Powerful Bloom,flip_multiplier_energy_count,50,,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,50.0,50×
A1a,86,Mew ex,Genome Hacking,copy_opponent_attack,,,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,0.0,
A2,1,Oddish,Blot,heal_self,10,,Heal 10 damage from this Pokémon.,10.0,10
A2,5,Tangrowth,Mega Drain,heal_self,30,,Heal 30 damage from this Pokémon.,90.0,90
A2,7,Yanmega ex,Air Slash,discard_random_energy_self,1,,Discard a random Energy from this Pokémon.,120.0,120
A2,9,Roserade,Poisonous Whip,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,50.0,50
A2,12,Torterra,Frenzy Plant,self_lock_specific_attack,,,"""During your next turn, this Pokémon can't use Frenzy Plant.""",150.0,150
A2,14,Kricketune,Entrancing Melody,inflict_status,confusion,,Your opponent's Active Pokémon is now Confused.,50.0,50
A2,16,Wormadam,Leaf Cutter,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",60.0,60+
A2,17,Combee,Call for Family,search_basic_to_bench,,,Put 1 random Basic Pokémon from your deck onto your Bench.,,
A2,19,Carnivine,Flog,flip_bonus_damage_if_heads,1,50,"""Flip a coin. If heads, this attack does 50 more damage.""",40.0,40+
A2,20,Leafeon,Leafy Cyclone,self_lock_next_turn,,,"""During your next turn, this Pokémon can't attack.""",90.0,90
A2,21,Mow Rotom,Energy Cutoff,flip_discard_random_from_opponent,1,,"""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""",30.0,30
A2,23,Magmar,Stoke,attach_energy_from_zone,fire,,Take a {R} Energy from your Energy Zone and attach it to this Pokémon.,,
A2,24,Magmortar,Bursting Inferno,inflict_status,burn,,Your opponent's Active Pokémon is now Burned.,100.0,100
A2,26,Magcargo,Searing Flame,inflict_status,burn,,Your opponent's Active Pokémon is now Burned.,30.0,30
A2,29,Infernape ex,Flare Blitz,discard_energy_specific,fire,999,Discard all {R} Energy from this Pokémon.,140.0,140
A2,30,Heat Rotom,Heat Breath,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",30.0,30+
A2,35,Piplup,Nap,heal_self,20,,Heal 20 damage from this Pokémon.,,
A2,37,Empoleon,Aqua Jet,bench_damage_one,opponent,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,80.0,80
A2,39,Floatzel,Jet Screw,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",30.0,30+
A2,41,Gastrodon,Muddy Water,bench_damage_one,opponent,20,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,60.0,60
A2,42,Finneon,Elegant Swim,flip_prevent_damage_and_effects,,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",10.0,10
A2,44,Snover,Ice Shard,bonus_damage_if_opponent_type,fighting,30,"""If your opponent's Active Pokémon is a {F} Pokémon, this attack does 30 more damage.""",10.0,10+
A2,46,Glaceon,Ice Beam,inflict_status,paralysis,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",60.0,60
A2,48,Frost Rotom,Blizzard,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,30.0,30
A2,49,Palkia ex,Dimensional Storm,discard_energy_and_bench_damage,water,3|20,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,150.0,150
A2,50,Manaphy,Oceanic Gift,attach_energy_to_multiple_bench,water,2,"""Choose 2 of your Benched Pokémon. For each of those Pokémon, take a {W} Energy from your Energy Zone and attach it to that Pokémon.""",,
A2,53,Magnezone,Thunder Blast,discard_energy_specific,lightning,1,Discard a {L} Energy from this Pokémon.,110.0,110
A2,54,Voltorb,Big Explosion,self_damage_fixed_amount,10,,This Pokémon also does 10 damage to itself.,30.0,30
A2,56,Electabuzz,Charge,attach_energy_from_zone,lightning,,Take a {L} Energy from your Energy Zone and attach it to this Pokémon.,,
A2,57,Electivire,Exciting Voltage,extra_damage_if_extra_energy_attached,lightning,2|80,"""If this Pokémon has at least 2 extra {L} Energy attached, this attack does 80 more damage.""",40.0,40+
A2,58,Shinx,Hide,flip_prevent_damage_and_effects,,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",,
A2,60,Luxray,Volt Bolt,discard_energy_and_snipe,lightning,120,Discard all {L} Energy from this Pokémon. This attack does 120 damage to 1 of your opponent's Pokémon.,,
A2,61,Pachirisu ex,Sparking Gadget,bonus_damage_if_tool_attached,self,40,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",40.0,40+
A2,62,Rotom,Assault Laser,bonus_damage_if_tool_attached,opponent,30,"""If your opponent's Active Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",20.0,20+
A2,65,Togekiss,Overdrive Smash,self_boost_next_turn,60,Overdrive Smash,"""During your next turn, this Pokémon's Overdrive Smash attack does +60 damage.""",60.0,60
A2,67,Mismagius ex,Magical Delusion,inflict_status,confusion,,Your opponent's Active Pokémon is now Confused.,70.0,70
A2,68,Ralts,Teleport,switch_self_with_bench,,,Switch this Pokémon with 1 of your Benched Pokémon.,,
A2,73,Drifloon,Expand,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",10.0,10
